A00	Cholera
D24	Benign neoplasm of breast
D25	Leiomyoma of uterus
D26	Other benign neoplasms of uterus
D27	Benign neoplasm of ovary
D28	Benign neoplasm of other and unspecified female genital organs
D29	Benign neoplasm of male genital organs
D30	Benign neoplasm of urinary organs
D31	Benign neoplasm of eye and adnexa
D32	Benign neoplasm of meninges
D33	Benign neoplasm of brain and other parts of central nervous system
D34	Benign neoplasm of thyroid gland
D35	Benign neoplasm of other and unspecified endocrine glands
D36	Benign neoplasm of other and unspecified sites
D37	Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs
D38	Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs
D39	Neoplasm of uncertain or unknown behaviour of female genital organs
D40	Neoplasm of uncertain or unknown behaviour of male genital organs
D41	Neoplasm of uncertain or unknown behaviour of urinary organs
D42	Neoplasm of uncertain or unknown behaviour of meninges
D43	Neoplasm of uncertain or unknown behaviour of brain and central nervous system
D44	Neoplasm of uncertain or unknown behaviour of endocrine glands
D45	Polycythaemia vera
D46	Myelodysplastic syndromes
D47	Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue
D48	Neoplasm of uncertain or unknown behaviour of other and unspecified sites
D50	Iron deficiency anaemia
D51	Vitamin B�?₂ deficiency anaemia
D52	Folate deficiency anaemia
D53	Other nutritional anaemias
D55	Anaemia due to enzyme disorders
D56	Thalassaemia
D57	Sickle-cell disorders
D58	Other hereditary haemolytic anaemias
D59	Acquired haemolytic anaemia
D60	Acquired pure red cell aplasia [erythroblastopenia]
D61	Other aplastic anaemias
D62	Acute posthaemorrhagic anaemia
D63	Anaemia in chronic diseases classified elsewhere
D64	Other anaemias
D65	Disseminated intravascular coagulation [defibrination syndrome]
D66	Hereditary factor VIII deficiency
D67	Hereditary factor IX deficiency
D68	Other coagulation defects
D69	Purpura and other haemorrhagic conditions
D70	Agranulocytosis
D71	Functional disorders of polymorphonuclear neutrophils
D72	Other disorders of white blood cells
D73	Diseases of spleen
D74	Methaemoglobinaemia
D75	Other diseases of blood and blood-forming organs
D76	Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
D77	Other disorders of blood and blood-forming organs in diseases classified elsewhere
D80	Immunodeficiency with predominantly antibody defects
D81	Combined immunodeficiencies
D82	Immunodeficiency associated with other major defects
D83	Common variable immunodeficiency
D84	Other immunodeficiencies
D86	Sarcoidosis
D89	Other disorders involving the immune mechanism, not elsewhere classified
E00	Congenital iodine-deficiency syndrome
E01	Iodine-deficiency-related thyroid disorders and allied conditions
E02	Subclinical iodine-deficiency hypothyroidism
E03	Other hypothyroidism
E04	Other nontoxic goitre
E05	Thyrotoxicosis [hyperthyroidism]
E06	Thyroiditis
E07	Other disorders of thyroid
E10	Insulin-dependent diabetes mellitus
E11	Non-insulin-dependent diabetes mellitus
E12	Malnutrition-related diabetes mellitus
E13	Other specified diabetes mellitus
E14	Unspecified diabetes mellitus
E15	Nondiabetic hypoglycaemic coma
E16	Other disorders of pancreatic internal secretion
E20	Hypoparathyroidism
E21	Hyperparathyroidism and other disorders of parathyroid gland
E22	Hyperfunction of pituitary gland
E23	Hypofunction and other disorders of pituitary gland
E24	Cushing's syndrome
E25	Adrenogenital disorders
E26	Hyperaldosteronism
E27	Other disorders of adrenal gland
E28	Ovarian dysfunction
E29	Testicular dysfunction
E30	Disorders of puberty, not elsewhere classified
E31	Polyglandular dysfunction
E32	Diseases of thymus
E34	Other endocrine disorders
E35	Disorders of endocrine glands in diseases classified elsewhere
E40	Kwashiorkor
E41	Nutritional marasmus
E42	Marasmic kwashiorkor
E43	Unspecified severe protein-energy malnutrition
E44	Protein-energy malnutrition of moderate and mild degree
E45	Retarded development following protein-energy malnutrition
E46	Unspecified protein-energy malnutrition
E50	Vitamin A deficiency
E51	Thiamine deficiency
E52	Niacin deficiency [pellagra]
E53	Deficiency of other B group vitamins
E54	Ascorbic acid deficiency
E55	Vitamin D deficiency
E56	Other vitamin deficiencies
E58	Dietary calcium deficiency
E59	Dietary selenium deficiency
E60	Dietary zinc deficiency
E61	Deficiency of other nutrient elements
E63	Other nutritional deficiencies
E64	Sequelae of malnutrition and other nutritional deficiencies
E65	Localized adiposity
E66	Obesity
E67	Other hyperalimentation
E68	Sequelae of hyperalimentation
E70	Disorders of aromatic amino-acid metabolism
E71	Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
E72	Other disorders of amino-acid metabolism
E73	Lactose intolerance
E74	Other disorders of carbohydrate metabolism
E75	Disorders of sphingolipid metabolism and other lipid storage disorders
E76	Disorders of glycosaminoglycan metabolism
E77	Disorders of glycoprotein metabolism
E78	Disorders of lipoprotein metabolism and other lipidaemias
E79	Disorders of purine and pyrimidine metabolism
E80	Disorders of porphyrin and bilirubin metabolism
E83	Disorders of mineral metabolism
E84	Cystic fibrosis
E85	Amyloidosis
E86	Volume depletion
E87	Other disorders of fluid, electrolyte and acid-base balance
E88	Other metabolic disorders
E89	Postprocedural endocrine and metabolic disorders, not elsewhere classified
E90	Nutritional and metabolic disorders in diseases classified elsewhere
F00	Dementia in Alzheimer's disease
F01	Vascular dementia
F02	Dementia in other diseases classified elsewhere
F03	Unspecified dementia
F04	Organic amnesic syndrome, not induced by alcohol and other psychoactive substances
F05	Delirium, not induced by alcohol and other psychoactive substances
F06	Other mental disorders due to brain damage and dysfunction and to physical disease
F07	Personality and behavioural disorders due to brain disease, damage and dysfunction
F09	Unspecified organic or symptomatic mental disorder
F10	Mental and behavioural disorders due to use of alcohol
F11	Mental and behavioural disorders due to use of opioids
F12	Mental and behavioural disorders due to use of cannabinoids
F13	Mental and behavioural disorders due to use of sedatives or hypnotics
F14	Mental and behavioural disorders due to use of cocaine
F15	Mental and behavioural disorders due to use of other stimulants, including caffeine
F16	Mental and behavioural disorders due to use of hallucinogens
F17	Mental and behavioural disorders due to use of tobacco
F18	Mental and behavioural disorders due to use of volatile solvents
F19	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances
F20	Schizophrenia
F21	Schizotypal disorder
F22	Persistent delusional disorders
F23	Acute and transient psychotic disorders
F24	Induced delusional disorder
F25	Schizoaffective disorders
F28	Other nonorganic psychotic disorders
F29	Unspecified nonorganic psychosis
F30	Manic episode
F31	Bipolar affective disorder
F32	Depressive episode
F33	Recurrent depressive disorder
F34	Persistent mood [affective] disorders
F38	Other mood [affective] disorders
F39	Unspecified mood [affective] disorder
F40	Phobic anxiety disorders
F41	Other anxiety disorders
F42	Obsessive-compulsive disorder
F43	Reaction to severe stress, and adjustment disorders
F44	Dissociative [conversion] disorders
F45	Somatoform disorders
F48	Other neurotic disorders
F50	Eating disorders
F51	Nonorganic sleep disorders
F52	Sexual dysfunction, not caused by organic disorder or disease
F53	Mental and behavioural disorders associated with the puerperium, not elsewhere classified
F54	Psychological and behavioural factors associated with disorders or diseases classified elsewhere
F55	Abuse of non-dependence-producing substances
F59	Unspecified behavioural syndromes associated with physiological disturbances and physical factors
F60	Specific personality disorders
F61	Mixed and other personality disorders
F62	Enduring personality changes, not attributable to brain damage and disease
F63	Habit and impulse disorders
F64	Gender identity disorders
F65	Disorders of sexual preference
F66	Psychological and behavioural disorders associated with sexual development and orientation
F68	Other disorders of adult personality and behaviour
F69	Unspecified disorder of adult personality and behaviour
F70	Mild mental retardation
F71	Moderate mental retardation
F72	Severe mental retardation
F73	Profound mental retardation
F78	Other mental retardation
F79	Unspecified mental retardation
F80	Specific developmental disorders of speech and language
F81	Specific developmental disorders of scholastic skills
F82	Specific developmental disorder of motor function
F83	Mixed specific developmental disorders
F84	Pervasive developmental disorders
F88	Other disorders of psychological development
F89	Unspecified disorder of psychological development
F90	Hyperkinetic disorders
F91	Conduct disorders
F92	Mixed disorders of conduct and emotions
F93	Emotional disorders with onset specific to childhood
F94	Disorders of social functioning with onset specific to childhood and adolescence
F95	Tic disorders
F98	Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F99	Mental disorder, not otherwise specified
G00	Bacterial meningitis, not elsewhere classified
G01	Meningitis in bacterial diseases classified elsewhere
G02	Meningitis in other infectious and parasitic diseases classified elsewhere
G03	Meningitis due to other and unspecified causes
G04	Encephalitis, myelitis and encephalomyelitis
G05	Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere
G06	Intracranial and intraspinal abscess and granuloma
G07	Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G08	Intracranial and intraspinal phlebitis and thrombophlebitis
G09	Sequelae of inflammatory diseases of central nervous system
G10	Huntington's disease
G11	Hereditary ataxia
G12	Spinal muscular atrophy and related syndromes
G13	Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
G14	Postpolio syndrome
G20	Parkinson's disease
G21	Secondary parkinsonism
G22	Parkinsonism in diseases classified elsewhere
G23	Other degenerative diseases of basal ganglia
G24	Dystonia
G25	Other extrapyramidal and movement disorders
G26	Extrapyramidal and movement disorders in diseases classified elsewhere
G30	Alzheimer's disease
G31	Other degenerative diseases of nervous system, not elsewhere classified
G32	Other degenerative disorders of nervous system in diseases classified elsewhere
G35	Multiple sclerosis
G36	Other acute disseminated demyelination
G37	Other demyelinating diseases of central nervous system
G40	Epilepsy
G41	Status epilepticus
G43	Migraine
G44	Other headache syndromes
G45	Transient cerebral ischaemic attacks and related syndromes
G46	Vascular syndromes of brain in cerebrovascular diseases
G47	Sleep disorders
G50	Disorders of trigeminal nerve
G51	Facial nerve disorders
G52	Disorders of other cranial nerves
G53	Cranial nerve disorders in diseases classified elsewhere
G54	Nerve root and plexus disorders
G55	Nerve root and plexus compressions in diseases classified elsewhere
G56	Mononeuropathies of upper limb
G57	Mononeuropathies of lower limb
G58	Other mononeuropathies
G59	Mononeuropathy in diseases classified elsewhere
G60	Hereditary and idiopathic neuropathy
G61	Inflammatory polyneuropathy
G62	Other polyneuropathies
G63	Polyneuropathy in diseases classified elsewhere
G64	Other disorders of peripheral nervous system
G70	Myasthenia gravis and other myoneural disorders
G71	Primary disorders of muscles
G72	Other myopathies
G73	Disorders of myoneural junction and muscle in diseases classified elsewhere
G80	Cerebral palsy
G81	Hemiplegia
G82	Paraplegia and tetraplegia
G83	Other paralytic syndromes
G90	Disorders of autonomic nervous system
G91	Hydrocephalus
G92	Toxic encephalopathy
G93	Other disorders of brain
G94	Other disorders of brain in diseases classified elsewhere
G95	Other diseases of spinal cord
G96	Other disorders of central nervous system
G97	Postprocedural disorders of nervous system, not elsewhere classified
G98	Other disorders of nervous system, not elsewhere classified
G99	Other disorders of nervous system in diseases classified elsewhere
H00	Hordeolum and chalazion
H01	Other inflammation of eyelid
H02	Other disorders of eyelid
H03	Disorders of eyelid in diseases classified elsewhere
H04	Disorders of lacrimal system
H05	Disorders of orbit
H06	Disorders of lacrimal system and orbit in diseases classified elsewhere
H10	Conjunctivitis
H11	Other disorders of conjunctiva
H13	Disorders of conjunctiva in diseases classified elsewhere
H15	Disorders of sclera
H16	Keratitis
H17	Corneal scars and opacities
H18	Other disorders of cornea
H19	Disorders of sclera and cornea in diseases classified elsewhere
H20	Iridocyclitis
H21	Other disorders of iris and ciliary body
H22	Disorders of iris and ciliary body in diseases classified elsewhere
H25	Senile cataract
H26	Other cataract
H27	Other disorders of lens
H28	Cataract and other disorders of lens in diseases classified elsewhere
H30	Chorioretinal inflammation
H31	Other disorders of choroid
H32	Chorioretinal disorders in diseases classified elsewhere
H33	Retinal detachments and breaks
H34	Retinal vascular occlusions
H35	Other retinal disorders
H36	Retinal disorders in diseases classified elsewhere
H40	Glaucoma
H42	Glaucoma in diseases classified elsewhere
H43	Disorders of vitreous body
H44	Disorders of globe
H45	Disorders of vitreous body and globe in diseases classified elsewhere
H46	Optic neuritis
H47	Other disorders of optic [2nd] nerve and visual pathways
H48	Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere
H49	Paralytic strabismus
H50	Other strabismus
H51	Other disorders of binocular movement
H52	Disorders of refraction and accommodation
H53	Visual disturbances
H54	Visual impairment including blindness (binocular or monocular)
H55	Nystagmus and other irregular eye movements
H57	Other disorders of eye and adnexa
H58	Other disorders of eye and adnexa in diseases classified elsewhere
H59	Postprocedural disorders of eye and adnexa, not elsewhere classified
H60	Otitis externa
H61	Other disorders of external ear
H62	Disorders of external ear in diseases classified elsewhere
H65	Nonsuppurative otitis media
H66	Suppurative and unspecified otitis media
H67	Otitis media in diseases classified elsewhere
H68	Eustachian salpingitis and obstruction
H69	Other disorders of Eustachian tube
H70	Mastoiditis and related conditions
H71	Cholesteatoma of middle ear
H72	Perforation of tympanic membrane
H73	Other disorders of tympanic membrane
H74	Other disorders of middle ear and mastoid
H75	Other disorders of middle ear and mastoid in diseases classified elsewhere
H80	Otosclerosis
H81	Disorders of vestibular function
H82	Vertiginous syndromes in diseases classified elsewhere
H83	Other diseases of inner ear
H90	Conductive and sensorineural hearing loss
H91	Other hearing loss
H92	Otalgia and effusion of ear
H93	Other disorders of ear, not elsewhere classified
H94	Other disorders of ear in diseases classified elsewhere
H95	Postprocedural disorders of ear and mastoid process, not elsewhere classified
I00	Rheumatic fever without mention of heart involvement
I01	Rheumatic fever with heart involvement
I02	Rheumatic chorea
I05	Rheumatic mitral valve diseases
I06	Rheumatic aortic valve diseases
I07	Rheumatic tricuspid valve diseases
I08	Multiple valve diseases
I09	Other rheumatic heart diseases
I10	Essential (primary) hypertension
I11	Hypertensive heart disease
I12	Hypertensive renal disease
I13	Hypertensive heart and renal disease
I15	Secondary hypertension
I20	Angina pectoris
I21	Acute myocardial infarction
I22	Subsequent myocardial infarction
I23	Certain current complications following acute myocardial infarction
I24	Other acute ischaemic heart diseases
I25	Chronic ischaemic heart disease
I26	Pulmonary embolism
I27	Other pulmonary heart diseases
I28	Other diseases of pulmonary vessels
I30	Acute pericarditis
I31	Other diseases of pericardium
I32	Pericarditis in diseases classified elsewhere
I33	Acute and subacute endocarditis
I34	Nonrheumatic mitral valve disorders
I35	Nonrheumatic aortic valve disorders
I36	Nonrheumatic tricuspid valve disorders
I37	Pulmonary valve disorders
I38	Endocarditis, valve unspecified
I39	Endocarditis and heart valve disorders in diseases classified elsewhere
I40	Acute myocarditis
I41	Myocarditis in diseases classified elsewhere
I42	Cardiomyopathy
I43	Cardiomyopathy in diseases classified elsewhere
I44	Atrioventricular and left bundle-branch block
I45	Other conduction disorders
I46	Cardiac arrest
I47	Paroxysmal tachycardia
I48	Atrial fibrillation and flutter
I49	Other cardiac arrhythmias
I50	Heart failure
I51	Complications and ill-defined descriptions of heart disease
I52	Other heart disorders in diseases classified elsewhere
I60	Subarachnoid haemorrhage
I61	Intracerebral haemorrhage
I62	Other nontraumatic intracranial haemorrhage
I63	Cerebral infarction
I64	Stroke, not specified as haemorrhage or infarction
I65	Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction
I66	Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction
I67	Other cerebrovascular diseases
I68	Cerebrovascular disorders in diseases classified elsewhere
I69	Sequelae of cerebrovascular disease
I70	Atherosclerosis
I71	Aortic aneurysm and dissection
I72	Other aneurysm and dissection
I73	Other peripheral vascular diseases
I74	Arterial embolism and thrombosis
I77	Other disorders of arteries and arterioles
I78	Diseases of capillaries
I79	Disorders of arteries, arterioles and capillaries in diseases classified elsewhere
I80	Phlebitis and thrombophlebitis
I81	Portal vein thrombosis
I82	Other venous embolism and thrombosis
I83	Varicose veins of lower extremities
I84	Haemorrhoids
I85	Oesophageal varices
I86	Varicose veins of other sites
I87	Other disorders of veins
I88	Nonspecific lymphadenitis
I89	Other noninfective disorders of lymphatic vessels and lymph nodes
I95	Hypotension
I97	Postprocedural disorders of circulatory system, not elsewhere classified
I98	Other disorders of circulatory system in diseases classified elsewhere
I99	Other and unspecified disorders of circulatory system
J00	Acute nasopharyngitis [common cold]
J01	Acute sinusitis
J02	Acute pharyngitis
J03	Acute tonsillitis
J04	Acute laryngitis and tracheitis
J05	Acute obstructive laryngitis [croup] and epiglottitis
J06	Acute upper respiratory infections of multiple and unspecified sites
J09	Influenza due to identified avian influenza virus
J10	Influenza due to other identified influenza virus
J11	Influenza, virus not identified
J12	Viral pneumonia, not elsewhere classified
J13	Pneumonia due to Streptococcus pneumoniae
J14	Pneumonia due to Haemophilus influenzae
J15	Bacterial pneumonia, not elsewhere classified
J16	Pneumonia due to other infectious organisms, not elsewhere classified
J17	Pneumonia in diseases classified elsewhere
J18	Pneumonia, organism unspecified
J20	Acute bronchitis
J21	Acute bronchiolitis
J22	Unspecified acute lower respiratory infection
J30	Vasomotor and allergic rhinitis
J31	Chronic rhinitis, nasopharyngitis and pharyngitis
J32	Chronic sinusitis
J33	Nasal polyp
J34	Other disorders of nose and nasal sinuses
J35	Chronic diseases of tonsils and adenoids
J36	Peritonsillar abscess
J37	Chronic laryngitis and laryngotracheitis
J38	Diseases of vocal cords and larynx, not elsewhere classified
J39	Other diseases of upper respiratory tract
J40	Bronchitis, not specified as acute or chronic
J41	Simple and mucopurulent chronic bronchitis
J42	Unspecified chronic bronchitis
J43	Emphysema
J44	Other chronic obstructive pulmonary disease
J45	Asthma
J46	Status asthmaticus
J47	Bronchiectasis
J60	Coalworker's pneumoconiosis
J61	Pneumoconiosis due to asbestos and other mineral fibres
J62	Pneumoconiosis due to dust containing silica
J63	Pneumoconiosis due to other inorganic dusts
J64	Unspecified pneumoconiosis
J65	Pneumoconiosis associated with tuberculosis
J66	Airway disease due to specific organic dust
J67	Hypersensitivity pneumonitis due to organic dust
J68	Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours
J69	Pneumonitis due to solids and liquids
J70	Respiratory conditions due to other external agents
J80	Adult respiratory distress syndrome
J81	Pulmonary oedema
J82	Pulmonary eosinophilia, not elsewhere classified
J84	Other interstitial pulmonary diseases
J85	Abscess of lung and mediastinum
